Name,Year,Genre,Run_time,Rating,Meta_score,Director_cast,Votes,Vote_gross
Gone with the Wind,(1939),"
Drama, History, Romance            ",238 min,"

8.1
",97        ,"
    Directors:
Victor Fleming, 
George Cukor, 
Sam Wood
| 
    Stars:
Clark Gable, 
Vivien Leigh, 
Thomas Mitchell, 
Barbara O'Neil
","293,305","
Votes:
293,305
| Gross:
$198.68M
"
La Grande Illusion,(1937),"
Drama, War            ",113 min,"

8.1
",,"
    Director:
Jean Renoir
| 
    Stars:
Jean Gabin, 
Dita Parlo, 
Pierre Fresnay, 
Erich von Stroheim
","34,181","
Votes:
34,181
| Gross:
$0.17M
"
It Happened One Night,(1934),"
Comedy, Romance            ",105 min,"

8.1
",87        ,"
    Director:
Frank Capra
| 
    Stars:
Clark Gable, 
Claudette Colbert, 
Walter Connolly, 
Roscoe Karns
","95,393","
Votes:
95,393
| Gross:
$4.36M
"
La passion de Jeanne d'Arc,(1928),"
Biography, Drama, History            ",110 min,"

8.1
",,"
    Director:
Carl Theodor Dreyer
| 
    Stars:
Maria Falconetti, 
Eugene Silvain, 
André Berley, 
Maurice Schutz
","48,764","
Votes:
48,764
| Gross:
$0.02M
"
The Circus,(1928),"
Comedy, Romance            ",72 min,"

8.1
",90        ,"
    Director:
Charles Chaplin
| 
    Stars:
Charles Chaplin, 
Merna Kennedy, 
Al Ernest Garcia, 
Harry Crocker
","30,743","
Votes:
30,743
"
Sunrise: A Song of Two Humans,(1927),"
Drama, Romance            ",94 min,"

8.1
",,"
    Director:
F.W. Murnau
| 
    Stars:
George O'Brien, 
Janet Gaynor, 
Margaret Livingston, 
Bodil Rosing
","47,286","
Votes:
47,286
| Gross:
$0.54M
"
The General,(1926),"
Action, Adventure, Comedy            ",67 min,"

8.1
",,"
    Directors:
Clyde Bruckman, 
Buster Keaton
| 
    Stars:
Buster Keaton, 
Marion Mack, 
Glen Cavender, 
Jim Farley
","82,299","
Votes:
82,299
| Gross:
$1.03M
"
Das Cabinet des Dr. Caligari,(1920),"
Fantasy, Horror, Mystery            ",76 min,"

8.1
",,"
    Director:
Robert Wiene
| 
    Stars:
Werner Krauss, 
Conrad Veidt, 
Friedrich Feher, 
Lil Dagover
","58,203","
Votes:
58,203
"
Badhaai ho,(2018),"
Comedy, Drama            ",124 min,"

8.0
",,"
    Director:
Amit Ravindernath Sharma
| 
    Stars:
Ayushmann Khurrana, 
Neena Gupta, 
Gajraj Rao, 
Sanya Malhotra
","28,590","
Votes:
28,590
"
Togo,(2019),"
Adventure, Biography, Drama            ",113 min,"

8.0
",69        ,"
    Director:
Ericson Core
| 
    Stars:
Willem Dafoe, 
Julianne Nicholson, 
Christopher Heyerdahl, 
Richard Dormer
","39,807","
Votes:
39,807
"
